website,server,server_version,os,jquery_version,http_only,x_xss_protection,strict_transport_security,cms,cms_version,x_powered_by,x_powered_by_version,x_frame_options,content_security_policy,country,ip
digitalcoo.com,"apache","2.4.29","Ubuntu Linux","1.12.4",False,0,,"WordPress",,,,,False,"US","68.183.49.157"
alumpa.com,"litespeed",,,"2.1.4",False,0,,,,"PHP","5.5.38",,False,"TR","93.89.224.134"
www.iceflatline.com,"apache",,,,False,0,,"WordPress",,,,,False,"US","69.89.29.140"
mercedesmedical.com,"apache",,,,False,0,,,,,,,False,"US","107.180.25.36"
www.uaoceu.es,"nginx","1.12.2",,"1.11.3",False,0,,"Drupal","7","PHP","5.6.39",,False,"ES","84.88.91.73"
dommebeli48.ru,"nginx","1.15.8",,"2.1.1",True,0,,,,"PHP","5.6.40",,False,"RU","77.222.56.152"
noithatgohome.net,"litespeed",,,,False,0,,"WordPress","5.3.3","PHP","5.6.40",,False,"VN","202.92.6.39"
www.treklandtrip.sk,"nginx",,,,True,0,,,,,,"DENY",False,"CZ","178.238.47.235"
fastchargeaust.com.au,"litespeed",,,"1.12.4",False,0,,"WordPress","4.7.17",,,,False,"AU","202.124.241.203"
wsodwnl.com,"litespeed",,,,False,0,,"WordPress","5.3.3",,,,False,"US","69.10.39.19"
dropsmm.com,"apache",,,,True,0,,,,"PHP","7.2.27",,False,"US","148.66.138.152"
www.lax.com,"cloudflare",,,,True,0,,,,,,,False,"US","104.16.207.135"
mt4trendindicator.com,"Sucuri","Cloudproxy",,,False,"1  mode=block",,"WordPress",,,,"SAMEORIGIN",False,"ZZ","192.124.249.9"
www.bjbaolande.com,"microsoft-IIS","7.5",,,False,0,,,,"ASP.NET",,,False,,"156.235.201.91"
teachmykidtoread.org,"nginx",,,,False,0,,"WordPress",,"WP Engine",,,False,"US","104.154.66.11"
kikipasso.com,"nginx","1.14.0","Ubuntu Linux",,False,0,,,,,,,False,"US","13.56.192.150"
archibtp.fr,"apache",,,,False,0,,,,,,,False,"GB","51.254.121.147"
www.massaproje.com,"apache",,,"2.1.1",False,0,,,,,,,False,,"185.86.81.118"
servisanabria.com,,,,,False,0,,,,,,,False,"US","50.31.174.135"
hgk.vn,"apache",,,,True,0,,,,,,,False,"VN","112.78.2.233"
seghers.co.kr,"microsoft-IIS","5.0",,,False,0,,,,,,,False,"KR","211.40.118.3"
988757.org,"microsoft-IIS","7.5",,,False,0,,,,"ASP.NET",,,False,"ZZ","104.216.67.66"
www.google.com,"gws",,,,True,"0","max-age=31536000",,,,,"SAMEORIGIN",False,"US","216.58.205.68"
buzzcentral.co.ke,"apache",,,,True,0,,"WordPress","5.2.6",,,,False,"KE","197.248.5.22"
www.iserv.net,"apache","2.4.41","Ubuntu Linux",,False,0,,,,,,,False,"US","204.177.184.36"
dencosys.vn,"cloudflare",,,,True,0,,"WordPress","5.3.3",,,,False,"US","104.27.148.43"
salonretro.kiev.ua,"nginx",,,,False,0,,"WordPress",,,,,False,,"185.68.16.119"
vieclambinhdinh.gov.vn,"microsoft-IIS","10.0",,"3.3.1",True,0,,,,"ASP.NET",,,False,"VN","113.161.1.73"
woodburyoutfitters.com,"openresty",,,,False,0,,,,,,,False,"US","35.241.7.148"
www.laclinic.info,"nginx",,,,False,0,,"WordPress","4.9.13","PleskLin",,,False,"DE","82.211.12.87"
srilankanartgallery.com,"apache",,,"1.11.2",False,0,,"WordPress",,,,,False,"US","192.185.187.230"
www.saivizindia.in,"apache",,,,False,0,,"WordPress","5.3.2","PHP","7.2.27",,False,"US","107.180.58.16"
www.tonex.com,"nginx",,,,False,0,,"WordPress",,"WP Engine",,,False,"US","104.198.15.12"
krishnaivf.com,"nginx","1.17.6",,,False,0,,"WordPress","5.3.3",,,,False,"US","198.57.151.178"
mathforum.org,,,,,True,0,,,,,,,False,"US","107.154.111.85"
nuevoparacas.com,"apache",,,,True,0,,"Joomla",,,,,False,"US","192.185.52.245"
engagingearlylearners.com,"nginx",,,,False,0,,"WordPress","5.4",,,,False,"US","35.206.113.254"
infotecs.biz,"nginx",,,"1.11.1",True,"1  mode=block","max-age=31536000; preload",,,"PHP","7.1.33","SAMEORIGIN",False,"DE","185.35.146.5"
crossbarriers.org,"litespeed",,,,False,0,,"WordPress","5.4.1","PHP","7.3.16",,False,"DE","194.59.164.73"
www.lennail.ru,"openresty","1.13.6.2",,"1.7.2",True,0,,,,"PHP","5.3.29",,False,"RU","195.208.1.134"
painpalsblog.com,"nginx",,,,False,0,"max-age=86400","WordPress",,,,,False,"US","192.0.78.25"
wangfuka.com,"cloudflare",,,,True,0,,"WordPress","5.2.6","PHP","7.2.18",,False,"US","104.28.29.58"
www.branchenorte.de,"cloudflare",,,"3.2.1",True,0,,,,,,"SAMEORIGIN",False,"US","104.28.26.116"
fasicare.com,"cloudflare",,,,True,0,,"WordPress","5.4.1",,,,False,"US","104.27.186.252"
khanmirza.com,"litespeed",,,,False,0,,"WordPress","5.4.1",,,,False,"DE","88.198.17.214"
www.duxforex.com,"apache",,,,True,0,,"Joomla",,"PHP","5.6.40",,True,"US","162.144.215.148"
smc-diodes.com,"wts","1.2",,"1.8.3",False,0,,,,"ASP.NET",,,False,"US","23.234.27.108"
ilikephone.com,"apache",,,,False,0,,,,,,,False,"KR","211.51.221.231"
cialisxtl.com,"apache","2.4.10","Debian Linux",,False,0,,,,,,,False,"NL","217.23.15.35"
www.adeiskandar.com,"litespeed",,,,False,0,,"WordPress","5.4.1","PHP","7.2.30",,False,"ZZ","172.96.187.217"
sibkolbasy-hm.ru,"nginx",,,"1.10.2",False,0,,,,,,"SAMEORIGIN",False,,"185.165.123.36"
jetcommerce.co,"apache",,,"3.4.1",False,0,,,,"PHP","5.5.38",,False,,"103.233.102.29"
